	A1	A2	A3	B1	B2	B3	C1	C2	C3
gene_7227	4	9	2	23	0	16	0	6	7
gene_7228	0	1	0	2	0	0	0	1	0
gene_7229	1	0	0	6	1	1	1	1	1
gene_7230	42	50	49	37	37	48	48	33	23
gene_7231	49	45	41	32	40	39	35	49	46
gene_7232	2	5	0	1	3	7	3	7	2
gene_7233	0	0	2	0	1	0	0	0	1
gene_7234	34	3	127	5	0	195	61	40	70
gene_7235	27	77	64	82	99	103	110	77	47
gene_7236	113	57	94	71	122	68	105	69	142
gene_7237	5	0	1	6	3	8	3	0	1
gene_7238	44	121	71	62	86	88	82	86	82
gene_7239	29	19	13	19	14	16	23	14	28
gene_7240	28	25	39	34	38	45	26	37	34
gene_7241	0	0	0	0	2	0	18	21	7
gene_7242	4	0	3	0	3	5	0	0	3
gene_7243	28	2	0	1	2	12	0	66	0
gene_7244	6	0	0	0	0	5	2	1	0
gene_7245	78	76	100	85	113	104	118	101	98
gene_7246	110	101	94	126	193	132	56	131	248
gene_7247	12	0	0	0	2	1	0	3	0
gene_7248	0	1	0	1	0	0	2	0	0
gene_7249	57	59	56	55	49	53	44	35	59
gene_7250	17	6	35	57	10	48	18	23	15
gene_7251	19722	16411	18527	18734	17301	15750	15217	18526	15835
gene_7252	66	86	59	48	139	54	77	97	120
gene_7253	0	0	0	0	3	0	4	0	0
gene_7254	159	90	113	163	186	143	92	140	136
gene_7255	440	149	129	413	163	51	179	111	95
gene_7256	10	21	14	30	24	10	7	9	37
gene_7257	3	0	3	43	0	5	0	0	0
gene_7258	2	3	0	3	1	3	2	0	0
gene_7259	2	5	7	1	1	0	1	0	1
gene_7260	11	4	7	12	6	18	4	12	11
gene_7261	2	0	8	2	0	1	4	0	0
gene_7262	3	0	2	0	0	0	0	2	0
gene_7263	11	38	22	45	20	31	18	43	34
gene_7264	3	4	3	2	1	7	1	1	1
gene_7265	1	2	1	1	1	0	0	0	2
gene_7266	11	10	5	13	12	7	10	7	19
gene_7267	4	0	1	0	2	13	0	0	3
gene_7268	279	283	320	307	212	349	295	244	434
gene_7269	1	0	1	2	2	3	0	1	1
gene_7270	9	19	2	8	10	7	10	0	20
gene_7271	5	9	6	9	6	3	3	4	9
gene_7272	0	0	0	2	2	4	0	0	0
gene_7273	45	24	37	22	24	43	45	36	21
gene_7274	172	178	105	126	154	158	129	213	200
gene_7275	7	5	5	2	15	6	1	11	6
gene_7276	118	141	68	56	64	101	108	104	100
gene_7277	64	30	70	31	11	7	82	53	18
gene_7278	3	1	6	3	2	3	2	1	5
gene_7279	192	339	452	179	310	284	194	356	322
gene_7280	0	0	1	1	0	1	1	0	0
gene_7281	56	30	76	50	38	38	16	17	57
gene_7282	1	2	0	0	0	0	6	0	1
gene_7283	1	1	1	0	1	0	0	2	6
gene_7284	178	174	168	209	191	206	170	173	158
gene_7285	0	0	0	2	0	0	7	0	1
gene_7286	119	95	94	108	131	136	139	128	88
gene_7287	42	43	32	33	17	23	27	26	10
gene_7288	41	23	13	19	26	48	21	15	19
gene_7289	15	10	8	14	9	17	48	10	12
gene_7290	306	387	303	209	307	242	218	199	185
gene_7291	121	69	125	94	118	123	113	39	196
gene_7292	48	103	48	76	56	57	84	67	58
gene_7293	20	9	5	14	13	8	5	13	10
gene_7294	282	506	549	467	443	421	500	538	442
gene_7295	41	63	45	46	97	41	38	31	62
gene_7296	32	27	9	78	104	25	75	25	38
gene_7297	0	96	47	26	11	89	0	9	0
gene_7298	27	7	16	10	33	25	63	29	16
gene_7299	35	49	33	56	35	28	38	15	11
gene_7300	3	1	9	6	6	11	2	3	7
gene_7301	43	45	44	38	57	21	48	48	30
gene_7302	14	10	12	17	15	19	7	8	13
gene_7303	166	170	190	132	176	128	219	262	153
gene_7304	0	0	0	0	0	9	2	0	4
gene_7305	69	85	44	87	35	86	99	74	65
gene_7306	11	11	4	13	28	16	9	11	15
gene_7307	17	20	10	23	3	4	7	6	6
gene_7308	14	12	5	2	14	2	12	1	13
gene_7309	2	0	4	10	4	0	4	8	5
gene_7310	0	0	0	0	0	5	2	0	0
gene_7311	4	15	4	9	8	14	8	7	11
gene_7312	31	67	36	36	40	22	41	68	44
gene_7313	4	4	6	11	0	0	8	0	0
gene_7314	0	3	9	0	11	10	0	0	1
gene_7315	7	2	0	3	4	0	0	0	0
gene_7316	1	0	4	0	0	0	1	0	0
gene_7317	18	24	10	17	14	38	28	30	21
gene_7318	12	13	39	17	0	18	31	34	11
gene_7319	2	1	1	2	1	2	1	0	5
gene_7320	1	0	1	0	1	0	0	0	0
gene_7321	7	0	0	0	1	3	6	7	2
gene_7322	5	0	0	7	13	0	0	4	12
gene_7323	15	13	16	22	18	13	6	16	10
gene_7324	5	5	5	8	6	6	17	4	10
gene_7325	10	29	16	55	14	7	25	28	31
gene_7326	12	8	10	10	2	21	17	12	26
gene_7327	28	29	27	24	20	16	28	32	12
gene_7328	95	78	58	86	101	58	88	43	104
gene_7329	3	5	4	1	7	9	3	11	5
gene_7330	0	3	4	0	0	0	0	0	1
gene_7331	36	33	37	35	32	27	46	50	32
gene_7332	0	6	1	4	3	5	1	6	15
gene_7333	65	83	55	68	106	68	70	56	50
gene_7334	5	21	17	14	23	44	20	18	27
gene_7335	0	15	19	4	10	12	2	20	27
gene_7336	17	0	2	6	6	0	1	0	1
gene_7337	40	43	34	54	46	20	46	32	53
gene_7338	4	1	4	1	1	3	3	0	0
gene_7339	15	9	5	25	11	3	11	9	2
gene_7340	52	37	35	49	56	48	49	54	41
gene_7341	27	24	28	27	28	28	22	21	22
gene_7342	26	23	25	42	33	28	36	27	31
gene_7343	36	15	29	37	26	39	12	12	23
gene_7344	3	7	6	2	16	6	6	0	8
gene_7345	6	48	2	1	7	0	12	8	5
gene_7346	61	71	78	56	76	62	61	62	71
gene_7347	1	0	0	4	1	2	2	2	0
gene_7348	459	268	299	355	331	292	371	272	254
gene_7349	0	0	0	1	0	0	0	1	2
gene_7350	24	35	0	3	8	71	7	1	20
gene_7351	81	77	156	150	97	151	55	42	98
gene_7352	85	120	124	91	60	106	138	137	108
gene_7353	0	16	6	0	15	0	0	0	12
gene_7354	0	0	1	7	0	3	1	0	0
gene_7355	3	4	6	4	7	3	4	4	18
gene_7356	0	0	0	5	0	0	0	6	0
gene_7357	3	13	3	6	6	5	13	4	8
gene_7358	18	66	21	43	26	64	25	37	14
gene_7359	0	2	4	0	4	5	4	2	2
gene_7360	1	0	0	0	0	1	0	0	0
gene_7361	1870	1407	1500	1696	1464	1662	1594	1594	1453
gene_7362	1	2	1	0	1	2	3	1	2
gene_7363	85	71	82	56	50	74	57	81	72
gene_7364	7	0	0	7	0	5	4	1	5
gene_7365	30	43	15	34	13	27	35	30	45
gene_7366	2	14	3	15	4	1	7	14	3
gene_7367	0	0	0	2	1	2	0	0	1
gene_7368	1	0	0	3	0	2	0	1	1
gene_7369	2	0	0	3	0	0	0	1	0
gene_7370	16	17	23	16	30	18	19	20	16
gene_7371	1	6	0	0	0	2	1	1	2
gene_7372	29	27	18	25	20	15	30	27	22
gene_7373	802	790	466	594	530	329	330	302	499
gene_7374	40	33	8	10	42	18	24	29	25
gene_7375	67	57	82	190	89	283	83	43	60
gene_7376	49	37	41	53	33	45	51	52	47
gene_7377	86	60	42	77	53	60	47	47	74
gene_7378	13	6	0	12	2	8	14	1	0
gene_7379	66	59	63	61	42	49	54	52	59
gene_7380	32	54	20	18	73	9	88	17	19
gene_7381	46	92	98	74	58	78	54	50	63
gene_7382	0	0	0	0	0	2	0	0	0
gene_7383	162	146	161	105	172	157	168	131	169
gene_7384	0	0	0	1	0	0	0	0	0
gene_7385	1	2	0	0	0	0	2	0	0
gene_7386	1	2	3	3	1	1	1	0	1
gene_7387	3	1	1	2	2	0	0	2	3
gene_7388	6	16	20	17	9	12	15	26	21
gene_7389	13	25	10	32	18	6	17	24	24
gene_7390	27	9	42	51	22	16	9	5	2
gene_7391	83	68	71	74	101	81	96	83	95
gene_7392	24	19	26	39	19	21	33	43	7
gene_7393	15	13	9	11	2	17	4	11	7
gene_7394	230	365	81	174	248	114	180	218	163
gene_7395	2392	3245	1773	1968	1453	1914	2357	3508	2227
gene_7396	0	2	1	0	2	1	3	0	1
gene_7397	15	3	8	0	8	0	3	2	0
gene_7398	29	5	18	96	7	13	10	37	14
gene_7399	0	0	1	0	1	0	0	2	0
gene_7400	31	26	19	22	23	32	25	27	24
gene_7401	120	45	62	39	65	32	29	47	18
gene_7402	147	86	137	71	99	76	116	97	95
gene_7403	75	37	38	156	156	88	212	102	43
gene_7404	68	92	82	135	57	270	76	116	65
gene_7405	3	4	7	3	1	2	2	6	0
gene_7406	2	17	5	6	8	4	12	7	3
gene_7407	1	0	0	1	16	36	12	2	0
gene_7408	0	0	0	8	14	1	8	4	1
gene_7409	204	30	155	109	156	75	191	128	155
gene_7410	0	2	3	23	11	0	3	1	8
gene_7411	25	21	77	65	43	57	65	40	70
gene_7412	1	3	1	0	16	3	4	1	0
gene_7413	61	46	57	57	68	34	52	58	46
gene_7414	5	0	1	7	3	1	0	2	14
gene_7415	59	37	48	70	89	31	37	73	37
gene_7416	6	4	5	10	5	3	3	6	5
gene_7417	139	84	118	117	139	116	96	118	74
gene_7418	62	140	44	91	96	83	110	105	93
gene_7419	0	4	2	4	0	0	0	0	0
gene_7420	0	0	0	4	0	10	60	30	12
gene_7421	0	8	1	0	0	28	59	1	10
gene_7422	5	4	14	0	4	9	9	17	12
gene_7423	2	3	4	1	9	2	0	4	8
gene_7424	6	7	22	32	46	27	15	19	30
gene_7425	0	0	0	0	0	0	1	5	2
gene_7426	50	59	29	83	63	59	93	48	75
gene_7427	69	40	31	44	25	56	57	75	58
gene_7428	184	158	161	140	138	154	131	167	168
gene_7429	4	0	1	0	1	0	1	1	0
gene_7430	21	24	18	12	60	73	51	46	9
gene_7431	9	0	1	6	6	2	8	1	2
gene_7432	0	4	0	2	0	0	0	1	0
gene_7433	347	364	170	250	443	365	503	417	306
gene_7434	58	65	69	49	57	48	87	91	62
gene_7435	157	122	142	91	164	75	55	172	64
gene_7436	31	20	26	48	61	15	44	47	22
gene_7437	0	4	8	7	4	8	2	11	0
gene_7438	3	4	9	7	8	12	5	7	8
gene_7439	0	0	35	7	2	12	9	1	0
gene_7440	69	61	67	46	76	71	103	98	72
gene_7441	9	3	7	9	9	18	14	11	1
gene_7442	1	3	0	0	3	1	0	0	1
gene_7443	72	85	23	80	27	44	120	156	27
gene_7444	246	193	87	200	208	492	314	343	454
gene_7445	171	162	89	241	205	176	220	117	147
gene_7446	16	18	25	16	22	22	8	18	22
gene_7447	86	72	53	113	145	58	157	83	187
gene_7448	0	3	1	0	0	0	1	0	1
gene_7449	79	63	56	72	52	49	36	29	75
gene_7450	1	0	1	1	0	1	2	0	0
gene_7451	17	10	10	11	12	11	6	13	6
gene_7452	99	96	77	102	118	97	114	110	140
gene_7453	1	1	0	20	3	0	0	1	2
gene_7454	26	18	35	17	2	5	27	42	35
gene_7455	0	3	3	4	0	0	0	2	0
gene_7456	40	78	67	61	33	36	56	53	46
gene_7457	29	33	38	39	21	33	29	32	42
gene_7458	37	3	19	10	8	3	39	13	2
gene_7459	0	0	0	0	2	3	5	0	0
gene_7460	17	44	14	30	13	11	8	15	13
gene_7461	1	0	6	4	0	0	1	0	1
gene_7462	16	6	13	11	9	11	8	7	8
gene_7463	25	49	55	59	82	34	43	18	39
gene_7464	32	27	18	48	17	21	30	24	29
gene_7465	37	38	47	50	46	22	62	54	32
gene_7466	2	0	0	0	0	0	0	0	2
gene_7467	2	0	0	0	2	0	3	1	0
gene_7468	260	210	192	167	224	113	289	140	422
gene_7469	8	4	3	2	1	4	0	5	0
gene_7470	1	1	3	0	3	2	4	0	1
gene_7471	18	0	2	3	3	9	0	0	4
gene_7472	69	82	47	52	56	46	38	77	38
gene_7473	27	28	27	22	18	16	23	18	24
gene_7474	1	0	0	0	0	5	0	0	1
gene_7475	41	28	36	33	58	44	25	37	37
gene_7476	218	245	300	216	260	252	234	228	203
gene_7477	120	133	165	116	172	176	136	120	145
gene_7478	8	10	10	11	8	5	19	6	3
gene_7479	3	19	7	5	0	7	14	6	5
gene_7480	548	545	600	665	611	592	547	704	553
gene_7481	1	1	3	0	1	2	2	0	4
gene_7482	2	4	1	1	0	0	6	1	0
gene_7483	623	9	170	75	311	15	34	182	119
gene_7484	6	17	17	2	4	14	0	2	0
gene_7485	160	125	160	106	135	138	125	138	231
gene_7486	2	9	15	13	1	6	1	3	0
gene_7487	2	0	6	3	1	0	0	0	5
gene_7488	11	43	7	12	5	14	25	32	15
gene_7489	34	31	73	67	46	45	37	55	47
gene_7490	101	116	151	30	94	137	98	71	78
gene_7491	52	106	37	51	63	155	91	64	93
gene_7492	646	875	232	515	286	440	477	342	791
gene_7493	31	6	23	11	8	21	10	39	19
gene_7494	0	3	0	2	0	0	6	1	5
gene_7495	95	172	167	142	105	187	124	152	124
gene_7496	1	0	1	2	2	0	0	4	1
gene_7497	19	0	9	14	32	0	28	8	11
gene_7498	157	120	167	200	120	89	142	129	114
gene_7499	6	5	5	0	6	1	10	4	2
gene_7500	22	14	11	10	12	10	7	8	9
gene_7501	0	0	0	2	0	0	0	0	0
gene_7502	197	128	160	111	193	210	183	131	105
gene_7503	122	50	317	161	80	135	112	86	187
gene_7504	9	11	22	10	5	14	16	18	3
gene_7505	168	87	145	158	194	123	160	232	223
gene_7506	39	25	6	4	16	21	8	18	32
gene_7507	0	4	0	4	4	7	6	1	10
gene_7508	29	26	21	5	16	13	7	26	2
gene_7509	0	2	1	0	2	2	0	0	4
gene_7510	590	425	812	605	471	438	379	355	428
gene_7511	34	36	46	66	26	40	57	33	72
gene_7512	10	8	7	9	9	10	3	8	3
gene_7513	635	761	452	248	540	639	518	635	619
gene_7514	4	8	10	5	3	1	4	1	4
gene_7515	32	1	37	119	45	9	61	43	23
gene_7516	42	50	29	49	45	46	26	49	48
gene_7517	39	34	39	31	24	34	32	15	37
gene_7518	117	345	186	278	170	271	341	222	228
gene_7519	9	8	8	5	21	24	22	19	7
gene_7520	49	48	54	54	58	72	97	77	84
gene_7521	73	30	91	61	54	101	74	34	32
gene_7522	98	123	120	113	94	135	106	149	128
gene_7523	76	102	57	91	136	129	89	52	79
gene_7524	5	6	5	12	9	0	42	20	0
gene_7525	126	221	132	301	73	126	219	305	152
gene_7526	55	36	39	46	30	37	40	40	46
gene_7527	167	219	177	47	66	93	150	90	147
gene_7528	0	1	2	1	0	0	0	0	0
gene_7529	50	43	58	64	52	53	55	49	33
gene_7530	0	0	0	0	1	6	0	0	15
gene_7531	467	345	319	420	398	433	341	320	372
gene_7532	108	67	106	76	84	75	54	49	59
gene_7533	77	72	50	70	73	74	59	67	70
gene_7534	2	1	2	1	0	1	13	0	5
gene_7535	302	211	239	211	247	164	255	250	221
gene_7536	10	16	16	6	13	14	12	10	12
gene_7537	3	3	0	0	3	0	0	1	0
gene_7538	2	3	3	6	2	3	3	2	4
gene_7539	53	51	117	41	100	29	20	102	35
gene_7540	56	52	41	35	94	42	63	68	42
gene_7541	141	140	414	84	69	207	69	88	155
gene_7542	0	0	4	1	0	0	0	1	0
gene_7543	0	1	0	2	7	0	7	7	1
gene_7544	45	53	35	67	60	44	65	71	48
gene_7545	392	390	379	338	500	338	386	351	363
gene_7546	80	77	99	105	114	70	100	79	102
gene_7547	58	67	76	92	61	64	48	50	65
gene_7548	14	8	5	4	2	7	0	2	3
gene_7549	43	90	91	63	103	95	68	101	105
gene_7550	893	505	377	531	477	1842	338	478	598
gene_7551	6	13	10	6	11	13	8	1	5
gene_7552	0	28	2	31	15	23	5	13	15
gene_7553	116	234	142	193	109	177	124	144	105
gene_7554	7	1	17	32	74	25	6	0	12
gene_7555	2	8	2	13	2	0	4	13	15
gene_7556	60	98	60	49	61	42	135	147	89
gene_7557	6	3	2	5	3	1	2	3	2
gene_7558	0	1	1	2	1	0	1	1	4
gene_7559	0	2	0	0	0	0	0	6	0
gene_7560	1	0	2	0	1	2	0	2	0
gene_7561	24	15	18	23	22	18	18	21	23
gene_7562	122	101	123	132	155	152	114	134	112
gene_7563	99	87	61	93	94	68	80	87	110
gene_7564	364	277	314	291	343	381	241	344	234
gene_7565	16	5	15	20	12	10	9	17	10
gene_7566	6	7	9	19	4	9	1	10	7
gene_7567	27	31	21	38	24	27	23	44	23
gene_7568	6	12	16	9	17	10	16	9	8
gene_7569	1	4	0	1	0	2	0	0	0
gene_7570	470	544	408	467	440	496	479	423	452
gene_7571	16	16	20	13	18	14	25	9	20
gene_7572	0	0	3	0	0	1	0	10	1
gene_7573	13	21	4	6	0	0	0	0	0
gene_7574	74	107	60	97	116	136	136	149	113
gene_7575	325	378	297	288	246	393	257	192	372
gene_7576	5	1	0	5	2	5	5	8	2
gene_7577	34	41	43	45	23	39	48	53	23
gene_7578	0	0	0	0	0	3	0	0	0
gene_7579	0	2	0	1	4	0	1	3	0
gene_7580	102	161	46	121	123	173	120	69	196
gene_7581	123	232	219	246	192	231	146	138	196
gene_7582	2	2	4	8	18	3	12	0	1
gene_7583	201	103	268	199	30	65	145	24	57
gene_7584	3	12	35	3	11	23	16	40	17
gene_7585	16	34	10	7	2	21	23	78	65
gene_7586	9	0	2	3	8	12	4	3	0
gene_7587	98	94	163	94	126	102	98	133	111
gene_7588	28	2	5	2	10	8	11	9	0
gene_7589	48	71	85	77	51	68	72	58	41
gene_7590	202	164	90	175	115	250	102	188	122
gene_7591	12	16	17	16	19	13	12	19	17
gene_7592	1	3	13	4	8	3	2	7	2
gene_7593	58	58	61	57	53	42	47	53	64
gene_7594	0	0	0	5	0	0	0	2	2
gene_7595	80	84	190	49	110	59	42	121	126
gene_7596	0	5	2	0	6	0	1	0	0
gene_7597	7	5	17	10	13	8	9	2	11
gene_7598	28	4	32	22	6	34	52	24	2
gene_7599	3	0	0	0	0	7	1	4	2
gene_7600	101	52	48	102	141	85	108	71	109
gene_7601	52	28	45	40	22	45	34	40	22
gene_7602	26	42	21	52	146	62	85	6	34
gene_7603	16	16	24	7	6	18	4	10	22
gene_7604	85	78	89	116	167	81	138	117	108
gene_7605	258	335	201	350	254	232	229	399	275
gene_7606	32	50	55	28	36	35	45	61	45
gene_7607	61	51	57	51	44	63	55	47	67
gene_7608	0	0	0	0	0	0	0	0	0
gene_7609	207	208	155	125	191	183	128	153	82
gene_7610	0	1	0	10	0	1	0	0	0
gene_7611	184	217	180	176	167	196	173	173	207
gene_7612	28	31	22	32	26	21	36	26	22
gene_7613	56	59	107	82	78	105	117	84	72
gene_7614	2	3	5	3	1	5	3	6	2
gene_7615	77	87	83	72	70	59	66	64	73
gene_7616	63	31	0	24	10	27	77	76	11
gene_7617	22	12	26	31	16	18	20	11	15
gene_7618	0	1	4	2	2	1	2	2	2
gene_7619	6	17	30	13	28	24	12	22	21
gene_7620	16	12	16	16	8	14	10	32	9
gene_7621	146	239	227	245	197	89	108	115	263
gene_7622	15	12	4	2	4	9	9	2	5
gene_7623	26	12	42	38	33	62	33	15	31
gene_7624	19	8	11	13	19	19	15	5	16
gene_7625	0	0	1	0	0	0	1	0	0
gene_7626	0	0	0	0	2	0	0	3	4
gene_7627	13	19	42	27	12	15	13	14	13
gene_7628	26	21	23	18	20	28	26	18	6
gene_7629	0	0	0	0	2	0	0	0	0
gene_7630	10	5	2	3	3	2	8	6	9
gene_7631	21	9	27	34	10	31	33	24	15
gene_7632	1	1	5	2	1	1	1	16	3
gene_7633	341	352	314	288	106	112	99	168	174
gene_7634	51	36	28	56	35	39	30	33	37
gene_7635	0	0	1	0	0	0	0	0	4
gene_7636	247	305	370	493	445	508	326	248	329
gene_7637	4	0	0	0	1	0	1	1	1
gene_7638	57	25	11	251	122	38	67	80	218
gene_7639	0	5	5	2	0	8	1	3	3
gene_7640	42	56	54	21	31	46	46	45	51
gene_7641	5	2	1	1	0	3	0	0	1
gene_7642	405	414	286	226	397	391	281	186	311
gene_7643	5	24	19	5	29	8	4	9	6
gene_7644	637	164	301	357	606	841	345	350	843
gene_7645	39	60	44	46	60	26	51	44	47
gene_7646	1	0	13	12	1	48	41	29	36
gene_7647	6	1	10	16	1	29	4	0	7
gene_7648	0	3	0	3	0	1	1	1	0
gene_7649	3	1	10	5	2	1	0	0	1
gene_7650	7	1	5	5	9	6	12	6	2
gene_7651	1	8	16	35	14	7	5	1	2
gene_7652	0	2	1	4	0	0	0	1	1
gene_7653	0	1	0	0	0	15	0	10	3
gene_7654	48	123	78	63	127	101	41	117	126
gene_7655	4	0	0	5	2	3	2	5	0
gene_7656	358	330	331	375	404	316	411	362	284
gene_7657	1893	1800	405	575	366	574	451	368	619
gene_7658	7	3	1	4	4	6	6	3	8
gene_7659	1	1	0	1	1	1	0	1	1
gene_7660	204	117	162	170	70	443	62	119	126
gene_7661	0	11	4	3	3	0	4	6	0
gene_7662	36	12	38	48	46	36	24	20	39
gene_7663	5	4	6	2	7	6	5	1	4
gene_7664	74	95	165	147	114	200	149	127	218
gene_7665	16	2	7	8	8	3	5	4	9
gene_7666	0	0	8	0	18	10	4	0	4
gene_7667	0	3	5	0	0	0	0	1	2
gene_7668	3	2	0	5	3	0	0	6	1
gene_7669	5	1	4	0	0	2	3	3	2
gene_7670	0	2	3	1	2	3	0	3	0
gene_7671	81	34	43	24	92	61	44	30	36
gene_7672	9	10	9	7	18	13	12	7	11
gene_7673	0	0	2	0	0	0	1	1	0
gene_7674	17	11	5	8	7	14	4	8	7
gene_7675	11	3	29	14	9	9	11	6	8
gene_7676	28	49	31	31	28	24	24	30	94
gene_7677	129	104	117	109	99	100	77	116	119
gene_7678	23	14	18	25	24	31	42	24	20
gene_7679	39	48	48	43	38	29	41	49	44
gene_7680	65	0	21	173	15	56	15	53	13
gene_7681	17	15	24	19	28	21	22	22	18
gene_7682	0	1	0	0	1	0	0	0	0
gene_7683	125	176	155	198	167	159	102	99	235
gene_7684	11	14	6	19	13	14	34	6	30
gene_7685	3	0	0	1	0	5	5	0	1
gene_7686	21	12	14	8	12	11	15	10	10
gene_7687	0	1	1	4	0	0	0	2	0
gene_7688	0	5	0	1	0	0	0	8	2
gene_7689	6	24	98	21	27	34	26	13	5
gene_7690	33	112	69	22	35	44	112	57	85
gene_7691	45	22	11	10	14	10	6	35	17
gene_7692	61	1	0	0	2	19	2	3	22
gene_7693	68	53	60	108	25	108	114	76	46
gene_7694	9	4	23	43	7	10	6	1	5
gene_7695	37	61	65	36	57	37	31	43	28
gene_7696	31	43	22	33	37	29	46	64	33
gene_7697	94	98	84	85	141	83	130	128	103
gene_7698	8	28	5	1	14	8	18	14	17
gene_7699	7	19	22	7	6	14	30	38	30
gene_7700	5	2	1	4	0	1	6	7	0
gene_7701	175	82	341	56	169	56	68	154	121
gene_7702	71	71	65	74	49	73	63	71	77
gene_7703	11	2	5	5	1	3	3	6	32
gene_7704	2	15	30	4	17	0	19	15	1
gene_7705	45	61	38	34	39	56	63	75	42
gene_7706	2	1	1	1	0	0	0	0	2
gene_7707	2	6	2	5	0	0	18	2	0
gene_7708	12	0	8	7	21	4	5	14	16
gene_7709	32	32	50	28	30	33	25	46	28
gene_7710	582	688	830	704	664	604	580	841	834
gene_7711	185	76	119	119	125	59	64	134	103
gene_7712	1	0	0	1	1	0	0	0	1
gene_7713	13	21	9	20	10	25	8	13	16
gene_7714	31	40	31	41	38	24	11	28	26
gene_7715	91	48	67	138	26	126	44	65	27
gene_7716	8	54	3	6	7	101	0	5	21
gene_7717	3	1	5	0	0	16	0	1	4
gene_7718	18	16	18	8	8	9	17	9	11
gene_7719	15	10	11	19	103	23	64	37	1
gene_7720	3	17	6	8	25	4	8	3	14
gene_7721	6	9	4	10	9	8	10	2	4
gene_7722	0	0	0	0	1	38	1	4	0
gene_7723	1	0	0	19	21	7	3	0	4
gene_7724	5	0	2	4	0	0	6	2	0
gene_7725	1	1	4	16	0	0	1	4	6
gene_7726	13	10	17	22	16	18	24	11	49
gene_7727	83	70	109	69	92	99	96	86	113
gene_7728	8	0	1	1	4	0	0	0	0
gene_7729	46	31	71	90	54	17	35	68	54
gene_7730	3	0	0	6	0	4	4	8	0
gene_7731	6	22	19	15	10	17	6	16	26
gene_7732	0	1	0	6	0	0	0	0	0
gene_7733	9	14	12	24	18	12	7	14	13
gene_7734	1	5	0	0	0	0	0	4	6
gene_7735	0	6	0	0	0	1	7	1	0
gene_7736	0	0	2	0	0	0	5	1	5
gene_7737	3	43	0	10	4	3	19	12	13
gene_7738	21	31	23	23	27	29	24	19	32
gene_7739	78	78	99	157	89	72	110	74	91
gene_7740	42	42	99	40	48	48	55	10	41
gene_7741	5	6	8	3	0	0	0	0	8
gene_7742	11	25	15	21	23	25	23	24	20
gene_7743	0	0	0	2	1	1	0	1	0
gene_7744	27	43	28	20	40	30	17	11	51
gene_7745	3	0	0	1	3	0	1	0	12
gene_7746	49	28	25	21	95	54	54	23	49
gene_7747	1	2	10	5	33	27	2	2	9
gene_7748	2	11	1	38	6	0	22	7	13
gene_7749	0	2	4	1	4	1	3	8	2
gene_7750	179	136	179	127	176	169	149	248	141
gene_7751	5	3	0	5	10	2	1	0	0
gene_7752	252	169	125	146	252	226	264	234	115
gene_7753	16	3	25	2	9	39	11	3	0
gene_7754	309	291	335	282	307	262	206	277	304
gene_7755	6	4	8	9	8	10	13	6	13
gene_7756	45	46	72	21	34	37	47	32	40
gene_7757	1	4	4	0	0	0	1	0	11
gene_7758	12	9	10	5	32	27	14	8	15
gene_7759	0	4	0	4	1	5	3	5	2
gene_7760	0	0	1	3	11	7	3	1	2
gene_7761	72	95	99	98	62	73	87	81	103
gene_7762	26	17	7	36	34	27	34	39	28
gene_7763	3	1	10	1	39	4	2	4	9
gene_7764	2	1	0	0	1	3	1	0	1
gene_7765	58	50	53	42	57	32	72	32	63
gene_7766	34	9	4	8	108	42	13	17	42
gene_7767	0	0	0	2	2	0	0	9	0
gene_7768	9	15	1	10	6	6	9	6	6
gene_7769	37	12	20	31	21	31	18	26	18
gene_7770	11	1	2	19	12	13	3	23	8
gene_7771	51	13	30	36	38	87	5	25	27
gene_7772	11	10	36	27	43	11	15	2	17
gene_7773	5	38	32	35	48	41	22	23	23
gene_7774	76	65	68	43	53	121	63	67	65
gene_7775	3	21	14	16	13	8	13	16	13
gene_7776	46	63	50	70	45	57	45	54	52
gene_7777	45	50	44	33	43	38	28	27	52
gene_7778	2	0	0	0	0	0	5	5	1
gene_7779	49	64	37	65	36	32	56	48	38
gene_7780	1	0	0	5	5	0	1	0	0
gene_7781	15	15	10	13	12	8	11	12	13
gene_7782	29	43	57	61	40	61	45	76	48
gene_7783	25	28	20	28	24	34	20	26	40
gene_7784	41	57	17	24	38	25	33	34	28
gene_7785	18	19	8	16	7	21	17	16	16
gene_7786	224	223	339	207	333	235	307	354	201
gene_7787	10	17	12	13	14	18	13	16	15
gene_7788	15	21	4	9	15	12	14	19	16
gene_7789	32	60	48	54	18	33	62	43	39
gene_7790	29	38	22	33	45	28	18	21	53
gene_7791	147	169	132	136	140	139	132	143	122
gene_7792	101	125	105	107	79	79	143	132	102
gene_7793	108	102	162	52	42	98	64	53	125
gene_7794	166	89	49	111	75	81	99	127	82
gene_7795	43	48	18	108	4	2	0	18	0
gene_7796	1	0	1	1	4	3	0	1	1
gene_7797	20	32	30	48	33	22	12	21	26
gene_7798	99	47	84	68	175	177	136	134	63
gene_7799	10	3	5	5	0	3	0	18	1
gene_7800	1463	771	1029	705	468	748	569	1705	1469
gene_7801	0	2	2	0	3	0	0	3	2
gene_7802	14	12	2	7	12	1	12	11	14
gene_7803	3588	3957	3245	2631	3232	2078	5083	3055	5207
gene_7804	131	154	153	246	149	213	173	233	118
gene_7805	115	130	115	94	68	114	57	165	117
gene_7806	7	23	14	17	16	19	6	9	13
